iter	Passed	Remaining
769	49068	142106
770	49115	141995
771	49167	141896
772	49219	141800
773	49267	141692
774	49315	141582
775	49365	141481
776	49414	141373
777	49463	141270
778	49516	141176
779	49568	141078
780	49615	140969
781	49665	140866
782	49715	140765
783	49764	140659
784	49814	140559
785	49868	140469
786	49915	140359
787	49961	140248
788	50009	140141
789	50054	140025
790	50100	139914
791	50148	139807
792	50195	139700
793	50250	139612
794	50303	139520
795	50357	139432
796	50407	139333
797	50455	139226
798	50502	139118
799	50561	139044
800	50610	138940
801	50658	138836
802	50707	138734
803	50755	138630
804	50804	138529
805	50856	138436
806	50903	138329
807	50951	138223
808	51000	138123
809	51098	138154
810	51161	138092
811	51215	138005
812	51268	137913
813	51316	137810
814	51364	137706
815	51411	137602
816	51460	137499
817	51508	137398
818	51555	137293
819	51603	137189
820	51652	137090
821	51698	136982
822	51782	136974
823	51833	136881
824	51891	136804
825	51944	136715
826	51996	136623
827	52042	136517
828	52087	136408
829	52136	136309
830	52182	136202
831	52231	136104
832	52282	136009
833	52335	135920
834	52415	135903
835	52470	135821
836	52518	135719
837	52580	135655
838	52629	135556
839	52675	135450
840	52722	135348
841	52770	135249
842	52818	135146
843	52869	135054
844	52915	134951
845	52964	134851
846	53011	134749
847	53058	134648
848	53105	134546
849	53152	134444
850	53199	134343
851	53246	134242
852	53293	134139
853	53340	134039
854	53389	133941
855	53436	133841
856	53485	133744
857	53531	133641
858	53579	133544
859	53629	133449
860	53677	133352
861	53724	133250
862	53772	133152
863	53818	133051
864	53867	132956
865	53914	132856
866	53963	132760
867	54010	132661
868	54058	132565
869	54106	132467
870	54153	132368
871	54200	132268
872	54247	132169
873	54297	132077
874	54346	131983
875	54397	131896
876	54450	131810
877	54504	131729
878	54559	131649
879	54609	131558
880	54655	131457
881	54703	131362
882	54750	131265
883	54797	131166
884	54845	131071
885	54895	130981
886	54942	130883
887	54993	130795
888	55040	130698
889	55087	130600
890	55133	130500
891	55180	130403
892	55228	130309
893	55276	130214
894	55324	130120
895	55372	130026
896	55421	129933
897	55468	129839
898	55574	129879
899	55624	129789
900	55671	129695
901	55719	129601
902	55767	129506
903	55816	129415
904	55862	129317
905	55912	129228
906	55961	129137
907	56009	129042
908	56056	128948
909	56104	128856
910	56151	128760
911	56198	128664
912	56246	128571
913	56293	128477
914	56341	128384
915	56390	128293
916	56437	128199
917	56486	128109
918	56534	128017
919	56590	127943
920	56641	127858
921	56738	127877
922	56792	127798
923	56844	127714
924	56899	127639
925	56947	127546
926	56996	127457
927	57044	127365
928	57092	127275
929	57146	127197
930	57194	127105
931	57241	127012
932	57289	126920
933	57338	126831
934	57387	126743
935	57435	126651
936	57483	126561
937	57532	126473
938	57581	126385
939	57631	126298
940	57678	126205
941	57726	126116
942	57774	126025
943	57820	125930
944	57872	125850
945	57923	125766
946	57973	125680
947	58022	125592
948	58069	125502
949	58117	125412
950	58165	125322
951	58213	125231
952	58261	125142
953	58315	125067
954	58369	124989
955	58416	124899
956	58469	124820
957	58519	124736
958	58578	124670
959	58630	124590
960	58681	124507
961	58733	124427
962	58778	124332
963	58825	124241
964	58879	124165
965	58935	124093
966	58989	124018
967	59044	123944
968	59092	123855
969	59146	123780
970	59196	123697
971	59258	123638
972	59318	123575
973	59369	123493
974	59421	123414
975	59476	123339
976	59530	123264
977	59579	123179
978	59629	123096
979	59678	123009
980	59733	122938
981	59789	122866
982	59861	122828
983	59923	122770
984	59973	122686
985	60027	122611
986	60079	122533
987	60132	122456
988	60188	122384
989	60242	122309
990	60295	122234
991	60350	122160
992	60405	122087
993	60458	122012
994	60511	121934
995	60569	121868
996	60626	121799
997	60681	121728
998	60735	121654
999	60785	121571
1000	60839	121496
1001	60900	121436
1002	60958	121370
1003	61012	121296
1004	61066	121221
1005	61114	121136
1006	61168	121061
1007	61221	120985
1008	61276	120913
1009	61330	120839
1010	61385	120767
1011	61438	120692
1012	61492	120618
1013	61546	120543
1014	61600	120470
1015	61649	120386
1016	61703	120313
1017	61750	120225
1018	61797	120137
1019	61844	120052
1020	61898	119976
1021	61946	119891
1022	61992	119803
1023	62038	119715
1024	62086	119630
1025	62135	119546
1026	62183	119463
1027	62231	119378
1028	62279	119293
1029	62327	119208
1030	62375	119124
1031	62424	119041
1032	62472	118958
1033	62520	118874
1034	62580	118812
1035	62627	118726
1036	62674	118640
1037	62723	118557
1038	62770	118472
1039	62817	118386
1040	62865	118302
1041	62912	118218
1042	62966	118144
1043	63013	118060
1044	63062	117977
1045	63112	117897
1046	63159	117814
1047	63209	117734
1048	63258	117651
1049	63307	117571
1050	63363	117502
1051	63418	117433
1052	63472	117361
1053	63528	117291
1054	63582	117221
1055	63637	117151
1056	63694	117084
1057	63749	117015
1058	63802	116941
1059	63853	116864
1060	63904	116786
1061	63954	116707
1062	64007	116634
1063	64056	116554
1064	64103	116470
1065	64155	116394
1066	64204	116313
1067	64253	116234
1068	64301	116151
1069	64349	116069
1070	64398	115988
1071	64448	115911
1072	64501	115838
1073	64569	115791
1074	64627	115727
1075	64681	115656
1076	64734	115584
1077	64791	115518
1078	64844	115445
1079	64895	115370
1080	64950	115301
1081	65008	115236
1082	65063	115168
1083	65117	115097
1084	65174	115031
1085	65228	114960
1086	65278	114883
1087	65327	114803
1088	65377	114726
1089	65426	114646
1090	65475	114567
1091	65525	114489
1092	65574	114410
1093	65621	114328
1094	65669	114246
1095	65716	114164
1096	65765	114085
1097	65813	114005
1098	65862	113925
1099	65909	113844
1100	65957	113763
1101	66008	113688
1102	66056	113608
1103	66105	113528
1104	66152	113446
1105	66199	113366
1106	66248	113286
1107	66297	113208
1108	66350	113136
1109	66405	113068
1110	66464	113008
1111	66526	112951
1112	66594	112905
1113	66648	112835
1114	66703	112768
1115	66757	112698
1116	66812	112629
1117	66864	112556
1118	66913	112479
1119	66965	112406
1120	67021	112339
1121	67070	112263
1122	67123	112190
1123	67176	112120
1124	67228	112047
1125	67278	111971
1126	67328	111895
1127	67382	111826
1128	67433	111751
1129	67482	111675
1130	67533	111599
1131	67589	111534
1132	67644	111466
1133	67694	111392
1134	67743	111314
1135	67796	111243
1136	67847	111170
1137	67897	111094
1138	67948	111020
1139	68001	110950
1140	68052	110875
1141	68100	110797
1142	68151	110723
1143	68200	110647
1144	68248	110569
1145	68298	110493
1146	68349	110420
1147	68399	110344
1148	68448	110267
1149	68499	110194
1150	68562	110141
1151	68616	110071
1152	68673	110009
1153	68735	109952
1154	68795	109893
1155	68854	109833
1156	68907	109763
1157	68957	109689
1158	69010	109619
1159	69063	109548
1160	69112	109473
1161	69164	109401
1162	69217	109332
1163	69267	109257
1164	69316	109180
1165	69367	109108
1166	69418	109035
1167	69467	108958
1168	69516	108883
1169	69566	108809
1170	69616	108734
1171	69664	108657
1172	69716	108585
1173	69764	108509
1174	69814	108435
1175	69862	108358
1176	69920	108297
1177	69971	108224
1178	70019	108147
1179	70077	108085
1180	70136	108025
1181	70195	107966
1182	70249	107898
1183	70305	107833
1184	70361	107769
1185	70422	107712
1186	70476	107644
1187	70526	107570
1188	70578	107500
1189	70643	107449
1190	70700	107386
1191	70753	107317
1192	70804	107245
1193	70853	107170
1194	70906	107101
1195	70958	107030
1196	71009	106959
1197	71063	106892
1198	71115	106821
1199	71168	106752
1200	71219	106680
1201	71271	106610
1202	71323	106540
1203	71373	106467
1204	71433	106408
1205	71482	106334
1206	71543	106278
1207	71604	106220
1208	71660	106157
1209	71721	106099
1210	71781	106041
1211	71837	105978
1212	71903	105929
1213	71977	105891
1214	72041	105838
1215	72105	105785
1216	72171	105736
1217	72240	105691
1218	72298	105630
1219	72365	105582
1220	72433	105536
1221	72497	105483
1222	72551	105415
1223	72623	105375
1224	72675	105304
1225	72726	105234
1226	72788	105178
1227	72850	105123
1228	72902	105052
1229	72958	104989
1230	73015	104926
1231	73074	104866
1232	73128	104800
1233	73184	104735
1234	73232	104660
1235	73280	104585
1236	73330	104511
1237	73378	104436
1238	73427	104362
1239	73476	104289
1240	73525	104215
1241	73575	104142
1242	73632	104080
1243	73681	104006
1244	73736	103942
1245	73792	103877
1246	73841	103804
1247	73900	103744
1248	73949	103670
1249	73997	103596
1250	74045	103521
1251	74103	103460
1252	74153	103388
1253	74208	103324
1254	74257	103250
1255	74305	103176
1256	74354	103102
1257	74409	103038
1258	74457	102963
1259	74507	102891
1260	74563	102828
1261	74631	102781
1262	74687	102717
1263	74736	102644
1264	74784	102569
1265	74833	102496
1266	74888	102432
1267	74943	102367
1268	74988	102289
1269	75040	102220
1270	75094	102153
1271	75150	102091
1272	75203	102023
1273	75252	101951
1274	75300	101877
1275	75349	101805
1276	75398	101732
1277	75447	101659
1278	75495	101585
1279	75545	101513
1280	75598	101447
1281	75648	101376
1282	75698	101304
1283	75748	101233
1284	75797	101162
1285	75847	101090
1286	75896	101018
1287	75945	100946
1288	75993	100872
1289	76040	100798
1290	76089	100725
1291	76140	100656
1292	76188	100582
1293	76238	100511
1294	76286	100439
1295	76335	100367
1296	76384	100295
1297	76434	100225
1298	76483	100153
1299	76532	100081
1300	76581	100009
1301	76635	99943
1302	76695	99885
1303	76760	99835
1304	76826	99785
1305	76884	99726
1306	76945	99670
1307	77002	99609
1308	77058	99546
1309	77113	99481
1310	77163	99411
1311	77214	99343
1312	77265	99273
1313	77315	99203
1314	77365	99133
1315	77415	99063
1316	77467	98996
1317	77517	98926
1318	77568	98857
1319	77619	98788
1320	77668	98717
1321	77718	98646
1322	77767	98575
1323	77816	98504
1324	77865	98433
1325	77917	98366
1326	77967	98296
1327	78017	98227
1328	78067	98156
1329	78117	98087
1330	78171	98023
1331	78220	97952
1332	78271	97883
1333	78320	97812
1334	78370	97742
1335	78421	97674
1336	78470	97603
1337	78520	97534
1338	78583	97481
1339	78652	97435
1340	78721	97389
1341	78785	97336
1342	78853	97289
1343	78923	97244
1344	78990	97196
1345	79047	97135
1346	79096	97065
1347	79149	96999
1348	79199	96929
1349	79248	96858
1350	79296	96787
1351	79346	96718
1352	79397	96650
1353	79448	96581
1354	79497	96512
1355	79551	96446
1356	79603	96380
1357	79653	96311
1358	79705	96244
1359	79754	96175
1360	79805	96106
1361	79856	96039
1362	79908	95971
1363	79959	95904
1364	80009	95835
1365	80059	95767
1366	80109	95697
1367	80162	95632
1368	80212	95564
1369	80263	95495
1370	80311	95424
1371	80360	95354
1372	80410	95285
1373	80459	95216
1374	80509	95147
1375	80558	95078
1376	80623	95026
1377	80675	94960
1378	80725	94891
1379	80775	94823
1380	80826	94755
1381	80875	94686
1382	80924	94616
1383	80973	94547
1384	81023	94478
1385	81073	94409
1386	81123	94341
1387	81176	94277
1388	81226	94208
1389	81276	94139
1390	81324	94069
1391	81427	94062
1392	81479	93997
1393	81530	93929
1394	81579	93860
1395	81631	93793
1396	81681	93726
1397	81731	93658
1398	81781	93589
1399	81832	93522
1400	81884	93456
1401	81935	93389
1402	81985	93321
1403	82035	93254
1404	82085	93185
1405	82135	93117
1406	82187	93052
1407	82237	92984
1408	82287	92916
1409	82336	92847
1410	82386	92779
1411	82435	92710
1412	82485	92642
1413	82537	92577
1414	82588	92510
1415	82639	92443
1416	82689	92376
1417	82744	92314
1418	82796	92249
1419	82847	92182
1420	82898	92116
1421	82948	92048
1422	83002	91985
1423	83051	91916
1424	83099	91846
1425	83149	91779
1426	83200	91712
1427	83253	91648
1428	83305	91583
1429	83357	91518
1430	83409	91452
1431	83461	91387
1432	83516	91325
1433	83570	91263
1434	83619	91194
1435	83667	91124
1436	83716	91056
1437	83767	90990
1438	83815	90921
1439	83864	90852
1440	83916	90787
1441	83965	90719
1442	84013	90650
1443	84065	90585
1444	84113	90516
1445	84162	90448
1446	84211	90380
1447	84259	90310
1448	84307	90242
1449	84356	90173
1450	84406	90106
1451	84454	90038
1452	84504	89970
1453	84552	89902
1454	84600	89833
1455	84650	89766
1456	84708	89708
1457	84757	89640
1458	84815	89582
1459	84875	89525
1460	84925	89459
1461	84975	89392
1462	85033	89334
1463	85083	89267
1464	85131	89199
1465	85191	89142
1466	85242	89077
1467	85295	89013
1468	85353	88956
1469	85407	88893
1470	85465	88834
1471	85518	88771
1472	85582	88719
1473	85638	88659
1474	85693	88598
1475	85764	88553
1476	85820	88493
1477	85884	88441
1478	85938	88378
1479	85993	88317
1480	86051	88259
1481	86105	88197
1482	86171	88147
1483	86240	88099
1484	86297	88041
1485	86353	87980
1486	86418	87929
1487	86481	87876
1488	86534	87812
1489	86600	87763
1490	86654	87700
1491	86710	87640
1492	86774	87587
1493	86836	87533
1494	86905	87486
1495	86978	87443
1496	87037	87386
1497	87097	87329
1498	87166	87282
1499	87232	87232
1500	87290	87174
1501	87352	87119
1502	87413	87064
1503	87482	87017
1504	87540	86959
1505	87600	86902
1506	87659	86844
1507	87717	86787
1508	87781	86734
1509	87837	86673
1510	87902	86622
1511	87957	86561
1512	88011	86498
1513	88064	86435
1514	88114	86370
1515	88164	86303
1516	88218	86241
1517	88276	86183
1518	88325	86115
1519	88374	86049
1520	88422	85980
1521	88471	85913
1522	88519	85845
1523	88570	85780
1524	88623	85717
1525	88673	85651
1526	88723	85585
1527	88774	85520
1528	88828	85459
1529	88889	85404
1530	88944	85342
1531	88999	85281
1532	89054	85220
1533	89109	85158
1534	89161	85095
1535	89219	85037
1536	89269	84971
1537	89317	84903
1538	89367	84837
1539	89414	84769
1540	89464	84703
1541	89513	84637
1542	89561	84570
1543	89612	84504
1544	89660	84437
1545	89709	84371
1546	89758	84304
1547	89807	84238
1548	89857	84172
1549	89908	84107
1550	89958	84042
1551	90007	83976
1552	90056	83909
1553	90104	83842
1554	90151	83774
1555	90200	83708
1556	90252	83644
1557	90302	83579
1558	90352	83513
1559	90401	83447
1560	90449	83380
1561	90498	83314
1562	90547	83248
1563	90601	83186
1564	90652	83122
1565	90701	83055
1566	90750	82990
1567	90800	82924
1568	90849	82858
1569	90897	82792
1570	90946	82726
1571	90999	82663
1572	91049	82598
1573	91098	82533
1574	91149	82469
1575	91200	82404
1576	91251	82340
1577	91302	82276
1578	91353	82212
1579	91404	82148
1580	91454	82083
1581	91506	82020
1582	91555	81954
1583	91604	81888
1584	91654	81823
1585	91703	81758
1586	91751	81691
1587	91799	81624
1588	91847	81559
1589	91896	81493
1590	91945	81427
1591	91995	81362
1592	92043	81296
1593	92093	81231
1594	92142	81165
1595	92190	81099
1596	92242	81037
1597	92289	80970
1598	92337	80903
1599	92386	80838
1600	92434	80772
1601	92484	80707
1602	92535	80643
1603	92584	80578
1604	92638	80517
1605	92690	80454
1606	92740	80390
